"id","tb_pts_contact_id","tb_type_qualificatif_id","permanence","num_tel_local","num_accueil","num_noir","email","website","horaire_accueil","horaire_tel_local"
237,205,1,0,"05 55 51 03 39",,,"m.hylaire@sde23.fr",,"Du lundi au vendredi de 9h00- 12h30 / 14h-17h30","Du lundi au vendredi de 9h00- 12h30 / 14h-17h30"
238,206,1,0,"05 55 45 49 01",,,"benjamin_gouttefangeas@ville-limoges.fr , jerome_jiat@ville-limoges.fr",,"du Lundi au vendredi de 8h30 à 12h30 et de 13h30 à 17h","du Lundi au vendredi de 8h30 à 12h30 et de 13h30 à 17h"
239,207,2,0,"05 55 54 04 95",,,"administration@ccbrv.fr",,"Lundi de 14h à 17h. Mercredi de 9h à 12h.","Lundi, mardi, jeudi, de 8h30 à 12h et de 14h à 17h. Le mercredi de 8h30 à 12h."
240,208,2,0,"05 55 52 46 67",,,"cal-pact-creuse@pactarim.net",,"Du lundi au vendredi, de 9h à 12h30.","Du lundi au vendredi, de 9h à 11h30."
241,209,2,0,"05 55 41 04 48",,,"direction.generale@agglo-grandgueret.fr",,"Du lundi au jeudi de 8h à 12h et de 13h30 à 17H30 et le vendredi de 8h à 12h et de 13h30 à 16h45","Du lundi au jeudi de 8h à 12h et de 13h30 à 17H30 et le vendredi de 8h à 12h et de 13h30 à 16h45"
242,210,2,0,"05 55 63 71 89",,,"habitat@cc-pays-sostranien.fr",,"Mardi de 14h30 à 18h et jeudi de 9h30 à 12h30.","Du lundi au vendredi, de 9h30 à 12h30 et de 14h30 à 18h."
243,211,2,0,"05 55 80 28 02",,,"sivuhabitat@yahoo.fr",,"Lundi, mardi, jeudi de 8h30 à 12h30 et de 13h30 à 17h. Mercredi de 13h30 à 17h.","Lundi, mardi, jeudi de 8h30 à 12h30 et de 13h30 à 17h. Mercredi de 13h30 à 17h."
244,212,2,0,"05 55 89 07 07",,,"habitat@paysdunois.fr",,"Le jeudi de 9h30 à 12h sans rendez-vous. Les autres jours sur rendez-vous. Fermé le lundi.","Du mardi au vendredi, de 9h à 12h30 et de 14h à 17h."
245,213,2,0,"05 55 67 72 44 ",,,"habitat@creuse-grand-sud.fr",,"Lundi de 9h à 12h30 et jeudi de 14h à 17h30.","Du lundi au vendredi de 9h à 12h et de 13h30 à 16h."
246,214,2,0,"05 55 62 56 89",,,"service.habitat@ciate.net",,"Du lundi au jeudi de 8h30 à 12h30 et de 13h30 à 17h30. Vendredi de 8h30 à 12h30 et de 13h30 à 16h30.","Du lundi au jeudi de 8h30 à 12h30 et de 13h30 à 17h30. Vendredi de 8h30 à 12h30 et de 13h30 à 16h30."
247,215,2,0,"05 55 83 11 17",,,"contact@payscombrailleenmarche.org",,"Mardi, mercredi et jeudi de 8h30 à 12h30.","Mardi, mercredi et jeudi de 8h30 à 12h30."
248,216,3,1,"03 83 27 62 72",,,"adil.54@wanadoo.fr","www.adil54.org","Du lundi au jeudi de 8h30 à 12h et de 13h30 à 17h30, le vendredi de 13h30 à 17h30","Du lundi au jeudi de 8h30 à 12h / 13H30 à 17h30 / Vendredi de 13h30 à 17h30"
249,216,2,1,"03 83 27 62 72",,,"adil.54@wanadoo.fr","www.adil54.org","Du lundi au jeudi de 8h30 à 12h et de 13h30 à 17h30, le vendredi de 13h30 à 17h30","Du lundi au jeudi de 8h30 à 12h / 13H30 à 17h30 Vendredi de 13h30 à 17h30"
250,217,3,1,"03 87 50 02 60",,,"contact@adil57.fr","www.adil57.org","Du lundi après-midi au vendredi de 9h00 à 12h30 / 14h à 17h30","Lundi de 14h à 17h30 / Mardi de 9h à 12h30 / 14h à 17h30 / Mercredi de 9h à 12h30 / 14h à 17h30 / Jeudi de 9h à 12h30 / 14h à 17h30 / Vendredi de 9h à 12h30 / 14h à 17h30"
251,218,2,0,"03 29 79 93 45",,,"ddt-suh@meuse.gouv.fr",,"Du lundi au vendredi, de 9h à 11h30.","Du lundi au vendredi de 9h à 11h30 et de 14h à 17h"
252,219,2,0,"03 87 34 34 57",,,"ddt-anah@moselle.gouv.fr",,"Du lundi au vendredi de 9h.à 12h. et de 14h. à 16h.","Du lundi au vendredi de 9h.à 12h. et de 14h.à 17h"
253,220,2,0,"03 29 69 13 76",,,"anah@vosges.gouv.fr",,"Du lundi au vendredi de 9h00 à 11h30","Du lundi au vendredi de 9h00 à 11h30"
254,221,1,0,"03 29 82 93 85",,,"cov@eie-lorraine.fr","http://www.eie-lorraine.fr/","Du lundi au vendredi de 9h00- 12h / 14h-17h30","Du lundi au vendredi de 9h00- 12h / 14h-17h30"
255,222,1,0,"03 83 37 25 87",,,"nancygrandsterritoires@eie-lorraine.fr","http://www.eie-lorraine.fr","Du lundi au vendredi de 9h00- 12h / 13h30-17h30","Du lundi au vendredi de 9h00- 12h / 13h30-17h30"
256,223,1,0,"03 87 50 82 21",,,"paysmessin@eie-lorraine.fr","http://www.eie-lorraine.fr","Du lundi au vendredi de 9h00- 12h / 13h30-17h30","Du lundi au vendredi de 9h00- 12h / 13h30-17h30"
257,224,1,0,"03 83 72 90 55",,,"est54@eie-lorraine.fr","http://www.eie-lorraine.fr","Du lundi au vendredi de 9h00- 12h / 14h-17h30","Du lundi au vendredi de 9h00- 12h / 14h-17h30"
258,225,1,0,"03 29 56 75 18",,,"estvosges@eie-lorraine.fr","http://www.eie-lorraine.fr","Du lundi au vendredi de 9h00- 12h / 14h-18h","Du lundi au vendredi de 9h00- 12h / 14h-18h"
259,226,1,0,"03 82 23 32 97",,,"lorrainenord@eie-lorraine.fr","http://www.eie-lorraine.fr","Du lundi au vendredi de 9h00- 12h30 / 14h-17h30","Du lundi au vendredi de 9h00- 12h30 / 14h-17h30"
260,227,1,0,"03 72 55 96 16",,,"meuse@eie-lorraine.fr","http://www.eie-lorraine.fr","Du lundi au vendredi de 9h00- 12h / 14h-17h30","Du lundi au vendredi de 9h00- 12h / 14h-17h30"
261,228,1,0,"03 87 86 46 62",,,"mosellecentre@eie-lorraine.fr","http://www.eie-lorraine.fr/","Du mardi au samedi de 9h - 12h et 14h - 18h","Du mardi au samedi de 9h - 12h et 14h - 18h"
262,229,1,0,"03 87 13 13 71",,,"moselleest@eie-lorraine.fr","http://www.eie-lorraine.fr","Du lundi au vendredi de 9h00- 12h30 / 14h-17h30","Du lundi au vendredi de 9h00- 12h30 / 14h-17h30"
263,230,1,0,"03 82 54 09 49",,,"mosellenord@eie-lorraine.fr","http://www.eie-lorraine.fr","Du mardi au samedi de 9h00- 12h / 13h30-17h30","Du mardi au samedi de 9h00- 12h / 13h30-17h30"
264,231,1,0,"03 83 64 98 04",,,"ouest54@eie-lorraine.fr","http://www.eie-lorraine.fr","Du lundi au vendredi de 9h00- 12h / 14h-17h30","Du lundi au vendredi de 9h00- 12h / 14h-17h30"
265,232,1,0,"03 87 50 82 21",,,"paysmessin@eie-lorraine.fr","http://www.eie-lorraine.fr","Du lundi au vendredi de 9h00- 12h / 13h30-17h30","Du lundi au vendredi de 9h00- 12h / 13h30-17h30"
266,233,2,1,"03 54 50 20 40",,,"mhdd@grand-nancy.org","www.grand-nancy.org/mhdd","Du lundi au jeudi de 9h à 12h et de 13h à 18h. Le vendredi de 9h à 12h et de 13h à 17h","Du lundi au jeudi de 9h à 12h et de 13h à 18h. Le vendredi de 9h à 12h et de 13h à 17h"
267,234,3,1,"05 65 73 18 00",,,"adil12@wanadoo.fr","www.adil12.org","Lundi, mardi, jeudi et vendredi de 9h à 12h et de 14h à 17h - Mercredi de 14h à 17h.","Lundi, mardi, jeudi et vendredi de 9h à 12h et de 14h à 17h - Mercredi de 14h à 17h."
268,234,1,1,"05 65 68 06 41",,,"info.energie12@orange.fr","http://www.adil12.org","Sans rendez-vous, du lundi au vendredi 9h-12h 14h-17h - Le mercredi 14h-17h","Lundi, mardi, jeudi et vendredi de 9h à 12h et de  14h à 17h - Mercredi de 14h à 17h"
269,234,2,1,"05 65 73 18 00",,,"adil12@wanadoo.fr","www.adil12.org","Lundi, mardi, jeudi et vendredi de 9h à 12h et de 14h à 17h, Mercredi de 14h à 17h","Lundi, mardi, jeudi et vendredi de 9h à 12h et de 14h à 17h, mercredi de 14h à 17h"
270,235,3,1,"05 61 22 46 22",,,"info@adil31.org","www.adil31.org","Lundi : 13h-17h / Du mardi au vendredi 9h-17h sans interruption","Lundi de 13h30 à 17hDu mardi au vendredi de 9h à 11h / 14h à 16h"
271,236,3,1,"05 62 34 67 11",,,"adil.65@wanadoo.fr","www.adil65.org","Du Lundi au vendredi de 9h à 12h30 / 13h30 à 17h30 (sauf le mardi matin (fermeture au public) et vendredi 16h30)","Du Lundi au vendredi de 9h à 12h30 / 13h30 à 17h30 (sauf le mardi matin (fermeture au public) et vendredi 16h30)"
272,236,2,1,"05 62 34 67 11",,,"adil.65@wanadoo.fr","www.adil65.org","Du Lundi au vendredi de 9h à 12h30 / 13h30 à 17h30 (sauf le mardi matin (fermeture au public) et vendredi 16h30)","Du Lundi au vendredi de 9h à 12h30 / 13h30 à 17h30 (sauf le mardi matin (fermeture au public) et vendredi 16h30)"
273,237,3,1,"05 81 32 35 05",,,"direction@adil32.org","www.adil32.org","Lundi : 9h - 12h30 et 13h30-17H30 / Mardi : 9h - 12h30 et 14h – 17h30 / Mercredi : 9h - 12h30 et 14h – 17h30 / Jeudi : 9h - 12h30 et 14h – 17h30 / Vendredi : 9h - 12h30 et 13h30 – 16h30","Lundi : 9h - 12h30 / 13h30 - 17h30 / Mardi : 9h - 12h30 / 14h - 17h30 / Mercredi : 9h - 12h30 / 14h - 17h30 / Jeudi : 9h - 12h30 / 14h - 17h30 / Vendredi : 9h - 12h30 / 13h30 - 16h30"
274,237,2,1,"05 81 32 35 05",,,"direction@adil32.org","www.adil32.org","Lundi : 9h - 12h30 et 13h30-17H30 / Mardi : 9h - 12h30 et 14h – 17h30 / Mercredi : 9h - 12h30 et 14h – 17h30 / Jeudi : 9h - 12h30 et 14h – 17h30 / Vendredi : 9h - 12h30 et 13h30 – 16h30","Lundi : 9h - 12h30 / 13h30 - 17h30 / Mardi : 9h - 12h30 / 14h - 17h30 / Mercredi : 9h - 12h30 / 14h - 17h30 / Jeudi : 9h - 12h30 / 14h - 17h30 / Vendredi : 9h - 12h30 / 13h30 - 16h30"
275,238,3,1,"05 65 35 25 41",,,"adil46@wanadoo.fr","www.adil46.org","Du lundi au jeudi de 8h45 à 12h00 et de 14h00 à 17h30, et le vendredi de 8h45 à 12h00","Du lundi au jeudi de 8h45 à 12h00 et de 14h00 à 17h30, et le vendredi de 8h45 à 12h00"
276,238,2,1,"05 65 35 25 41",,,"adil46@wanadoo.fr","www.adil46.org","Du lundi au jeudi de 8h45 à 12h00 et de 14h00 à 17h30, et le vendredi de 8h45 à 12h00","Du lundi au jeudi de 8h45 à 12h00 et de 14h00 à 17h30, et le vendredi de 8h45 à 12h00"
277,239,3,1,"05 63 48 73 80",,,"adil81@wanadoo.fr","www.adiltarn.org","Du lundi au vendredi de 8h30 à 12h30 et de 13h30 à 17h30 (16h30 le vendredi)","Lundi au vendredi de 8h30 à 12h30 / 13h30 à 17h30 (vendredi 16h30)"
278,239,2,1,"05 63 48 73 80",,,"adil81@wanadoo.fr","www.adiltarn.org","Du lundi au vendredi de 8h30 à 12h30 et de 13h30 à 17h30 (16h30 le vendredi)","Lundi au vendredi de 8h30 à 12h30 / 13h30 à 17h30 (vendredi 16h30)"
279,240,3,1,"05 63 63 04 68",,,"adil82@wanadoo.fr","www.adil82.org","Du lundi au jeudi de 9h à 12h et de 13h30 à 17h / Le vendredi de 9h à 12h et de 13h à 16h","Du lundi au vendredi de 10h à 12h / 14h à 16h"
280,241,1,0,"05 34 14 63 81",,,"infoenergie09@orange.fr","http://aleda09.fr/","Pour un rendez-vous à l’Espace INFO ENERGIE, prendre contact par téléphone.","Lundi, mardi et jeudi de 09h00 à 12h30 - mercredi et vendredi de 13h30 à 17h00"
281,242,1,0,"05 62 63 49 65",,,"eie32@wanadoo.fr",,"Sur rendez-vous : du lundi au vendredi","Du lundi au vendredi de 8h30 à 12h30 et de 14h00 à 17h00"
282,243,2,1,"05 61 02 47 15",,,"ddt-anah@ariege.gouv.fr",,"Lundi, mardi, jeudi de 14h à 16h. Mercredi et vendredi de 9h à 12h et sur rdv","Lundi, mardi, jeudi de 14h à 16h. Mercredi et vendredi de 9h à 11h."
285,246,1,0,"05 63 91 42 70",,,"infoenergie82@yahoo.fr",,"Sur rendez-vous, du lundi au Jeudi 9h30 - 12h30 et 13h30 - 17h ; le vendredi 9h30 - 12h30","Du Lundi au Vendredi de 9h30 à 12h30 et de 13h30 à 17h00  (le mercredi : 1 semaine sur 2)"
286,247,1,0,"05 61 97 34 20",,,"infoenergie-sudtoulousain@orange.fr","http://www.payssudtoulousain.fr/plan-climat-energie/espace-info-energie","Lundi, mardi et jeudi de 8h30 à 12h et de 13h30 à 17h","Lundi, mardi et jeudi de 8h30 à 12h et de 13h30 à 17h"
287,248,1,0,"05 63 60 16 80",,,"infoenergie@tarn.fr","www.caue-mp.fr","Sur Rendez-vous","Du Lundi au Vendredi de 9h00 à 12h00, le mardi et le jeudi de 14h00 à 16h00"
288,249,1,0,"05 62 34 87 72",,,"infoenergie65@pactbearn.com","http://www.pactbearn.com/","sur Rendez-vous, du Lundi au Vendredi de 9h - 12h et 14h - 17h","du Lundi au Vendredi de 9h - 12h et 14h - 17h"
289,250,1,0,"05 65 35 30 78",,,"info@quercy-energies.fr","http://www.quercy-energies.fr/","12h00 et de 13h00 à 17h00","Du lundi au vendredi de 09h00 à 12h30 et de 14h00 à 18h00"
290,251,1,0,"05 67 69 69 67",,,"info.energie@solagro.asso.fr","http://www.solagro.org","Sur Rendez-vous, mardi 9h30 - 12h30 et Vendredi 14h - 17h","Du mardi au vendredi 9h00 -12h30 et 14h00 - 18h00"
291,252,1,0,"05 61 73 38 81",,,"infoenergie@soleval.org","http://www.soleval.org","Sur rendez-vous, de mardi à Jeudi 9h30-17h30 - vendredi 9h30-13h30","De mardi à jeudi de 9h30 à 12h30 et de 13h30 à 17h30 - vendredi de 9h30 à 13h30"
295,256,2,0,"05 62 21 46 60",,,"toulouse@urbanis.fr",,"Du lundi au vendredi de 9h à 12h et de 14h à 16h30","Du lundi au vendredi de 9h à 12h et de 14h à 16h30"
297,258,2,0,"05 62 27 51 50",,,"pact31@pact31.fr",,"Du lundi au vendredi de 9h à 12h et de 14h à 16h30","Du lundi au vendredi de 9h à 12h et de 14h à 16h30"
298,259,2,0,"05 63 22 50 50",,,"anahgmca@ville-montauban.fr",,"Lundi et mardi de 14h à 17h, mercredi de 9h à 12h et 14h à 17h et vendredi de 9h à 12h.","Lundi et mardi de 14h à 17h, mercredi de 9h à 12h et 14h à 17h et vendredi de 9h à 12h."
299,260,2,0,"05 62 21 46 60",,,"toulouse@urbanis.fr",,"Du lundi au vendredi de 9h à 12h et de 14h à 16h30","Du lundi au vendredi de 9h à 12h et de 14h à 16h30"
300,261,2,1,"05 63 91 82 45",,,"anahcg82@cg82.fr",,"Lundi de 14h à 17h, jeudi de 9h à 12h et de 14h à 17h, vendredi de 9h à 12h.","Lundi de 14h à 17h, jeudi de 9h à 12h et de 14h à 17h, vendredi de 9h à 12h."
301,262,3,1,"03 59 61 15 00",,,"contact@adilnord.fr","www.adilnord.fr","Du lundi au Vendredi: 8h30-12h30 et 13h30-17h30. ","Du lundi au Vendredi: 8h30-12h30 et 13h30-17h30. "
302,262,1,0,"03 62 53 25 12",,,"jdorchies@adilnord.fr",,"Sur Rendez-vous","Mardi à Vendredi: 8h30-12h30 et 13h30-17h30. Samedi: 8h30-12h"
303,263,3,0,"03 62 53 25 10",,,"contact@adilnord.fr","www.adilnord.fr","Sur rendez-vous",
304,263,1,0,"03 62 53 25 16",,,"agbeard@adilnord.fr",,"Sur Rendez-Vous","Lundi au jeudi : 8h30-12h30 et 13h30-17h Vendredi : 8h30-12h30 et 13h30-16h"
305,264,3,0,"03 62 53 25 19",,,"contact@adilnord.fr","www.adilnord.fr","Sur rendez-vous",
306,264,1,0,"03 62 53 25 19",,,"cleriche@adilnord.fr","http://www.adilnord.fr/","Sur Rendez-Vous","Du lundi au vendredi de 8h30 à 12h30 et de 13h30 à 16h"
307,265,3,0,"03 62 53 25 15",,,"contact@adilnord.fr","www.adilnord.fr","Sur rendez-vous",
308,265,1,0,"03 62 53 25 15",,,"lplouvier@adilnord.fr",,"Sur Rendez-Vous","Lundi à jeudi: 8h30-12h30 et 13h30-17h30 Vendredi 8h30-12h30"
309,266,3,0,"03 62 53 25 11",,,"contact@adilnord.fr","www.adilnord.fr","Sur rendez-vous",
310,266,1,0,"03 62 53 25 11",,,"aaugereau@adilnord.fr",,"Sur Rendez-Vous","Mardi à Vendredi: 8h30-12h30 et 13h30-17h30. Samedi: 8h30-12h"
311,267,3,0,"03 62 53 25 14",,,"contact@adilnord.fr","www.adilnord.fr","Sur rendez-vous",
312,267,1,0,"03 62 53 25 14",,,"awilliart@adilnord.fr",,"Sur Rendez-Vous","lundi au jeudi : 8h30-12h30 et 13h30-17h00 Vendredi : 8h30-12h30 et 13h30-16h"
313,268,3,0,"03 62 53 25 18",,,"contact@adilnord.fr","www.adilnord.fr","Sur rendez-vous",
314,268,1,0,"03 62 53 25 13",,,"gflament@adilnord.fr",,"Sur Rendez-Vous","Lundi au jeudi: 8h30-12h30 et 13h30-17h30 Vendredi: 8h30-12h30"
315,269,3,0,"03 62 53 25 17",,,"contact@adilnord.fr","www.adilnord.fr","Sur rendez-vous",
316,269,1,0,"03 62 53 25 17",,,"jdufromont@adilnord.fr","http://www.adilnord.fr","Sur Rendez-Vous","Du lundi au Vendredi 9h-12h30 et 13h30-17h30"
317,270,3,0,"03 62 53 25 18",,,"contact@adilnord.fr","www.adilnord.fr","Sur rendez-vous",
318,270,1,0,"03 62 53 25 18",,,"jaccadebled@adilnord.fr","http://www.adilnord.fr","Sur Rendez-Vous","Du lundi au vendredi de 8h30 à 12h30 et 13h30 à 17h30"
319,271,1,0,"03 21 36 22 11",,,"eieducalaisis@agglo-calaisis.fr",,"Du lundi au Vendredi 9h-12h30 et 13h30-17h00","Du lundi au Vendredi 8h30h-12h et 14h-17h00"
320,272,2,0,"03 21 22 90 98",,,"ddtm-anah@pas-de-calais.gouv.fr",,"Du lundi au jeudi de 13h30 à 16h30. Le vendredi de 13h30 à 16h.","Du lundi au jeudi de 13h30 à 16h30. Le vendredi de 13h30 à 16h."
321,273,2,0,"03 28 03 83 09",,,"ddtm-anah@nord.gouv.fr",,"Du lundi au jeudi de 9h à 12h et de13h30 à 16h","Du lundi au vendredi de 9h à 12h et de13h30 à 16h"
322,274,1,0,"03 21 41 70 07",,,"equipe@apetitspas.net",,"Mardi au vendredi: 9h30-13h et 14h-17h30. Ouverture à partir de 10h le lundi","Mardi au vendredi: 9h30-13h et 14h-17h30. Ouverture à partir de 10h le lundi"
323,275,1,0,"08 00 00 49 08",,,"cabinfoenergie@agglo-boulonnais.fr",,"Sur Rendez-Vous","Du lundi au Vendredi 9h-12h et 14h-16h30 Fermé le mercredi"
324,276,1,0,"08 00 62 62 62",,,"eie@cu-arras.org",,"Lundi au jeudi : 9h-12h30 et 13h30-17h30 Vendredi: 9h-12h30 1er samedi du mois sur RDV : 9h-12h30","Lundi au jeudi : 9h-12h30 et 13h30-17h30 Vendredi: 9h-12h30 1er samedi du mois sur RDV : 9h-12h30"
325,277,1,0,"08 00 28 36 75",,,"operation.reflexenergie@cud.fr","http://www.dunkerquegrandlittoral.org","Du lundi au Vendredi 9h-12h et 14h-17h00","Du lundi au Vendredi 9h-12h et 14h-17h00"
326,278,1,0,"03 20 52 12 02",,,"eie2@mres-asso.org",,"Du lundi au Vendredi 9h-12h30 et 13h30-17h00","Du lundi au Vendredi 9h-12h30 et 13h30-17h00"
327,279,1,0,"03 20 85 80 81",,,"eie.lille@clcv.org",,"Sur Rendez-Vous","Du lundi au Vendredi 9h30-12h30 et 14h-17h"
328,280,1,0,"03 21 55 92 16",,,"conseiller.eie@paysartois.eu","http://www.cieu.org","Sur Rendez-Vous","Du lundi au Vendredi 9h-12h30 et 13h30-17h00"
329,281,1,0,"03 21 95 44 19",,,"espace-info-energie@enerlya.fr",,"Sur Rendez-Vous","Lundi au vendredi: 9h-12h30 et 14h-17h30"
330,282,1,0,"03 21 47 95 59",,,"eie-ternois-lysromane@hdno.fr",,"Sur Rendez-Vous","Du lundi au Vendredi 9h-12h30 et 13H30-17h00"
331,283,1,0,"03 21 79 72 29",,,"info-energie@agglo-henincarvin.fr",,"Sur Rendez-Vous","Lundi : 14h17h30  Mardi au Vendredi 9h-12h30 et 13h30-17h00"
332,284,1,0,"03 21 37 38 36",,,"infoenergie62@hdno.fr",,"Du lundi au Vendredi 9h-12h30 et 13h30-17h00","Du lundi au Vendredi 9h-12h30 et 13h30-17h00"
333,285,1,0,"03 27 71 37 42",,,"info-energie@cc-coeurdostrevent.fr","http://www.cc-coeurdostrevent.fr","Lundi : 14h17h30 Mardi à Vendredi : 9 h à 12 h et 14 h à 17h30","Mardi au vendredi: 9-12 h 30 et 13h30-17h30"
334,286,1,0,"03 62 61 47 90",,,"info-energie@artoiscomm.fr",,"Mardi au vendredi: 8h30-12 h 30 et 13h30-17h30","Mardi au vendredi: 9-12 h 30 et 13h30-17h30"
335,287,1,0,"03 21 87 86 31",,,"info.energie@parc-opale.fr",,"Du lundi au Vendredi 9h-12h30 et 13h30-17h00","Du lundi au Vendredi 9h-12h30 et 13h30-17h00"
336,288,3,1,"03 62 53 25 10",,,"contact@adilnord.fr","www.adilnord.fr","Sur rendez-vous",
337,288,1,0,"03 62 53 25 10",,,"jboutillon@adilnord.fr",,"Sur Rendez-Vous","Du lundi au mercredi : 9h-12h30 et 13h30-17h30 Du jeudi au vendredi : 9h-12h30 et 13h30-17h"
338,289,2,0,"08 00 59 20 11",,,"habitatdurable@agglo-porteduhainaut.fr","http://www.agglo-porteduhainaut.fr/"," Uniquement sur RDV le mardi et le jeudi de 14h à 17h","Mardi, mercredi et jeudi de 8h30 à 12h."
339,290,2,0,"03 27 99 78 90",,,"communaute@douaisis-agglo.com","http://www.douaisis-agglo.com/","Uniquement sur rendez-vous","Du lundi au vendredi de 9h30 à 12h et de 14h à 17h"
340,291,2,0,"08 00 59 14 62",,,"cud.habitermieux@gmail.com","www.communaute-urbaine-dunkerque.fr","Du lundi au jeudi de 9h à 11h45 et de 14h à 17h - Le vendredi de 9h à 11h45 et de 14h à 16h","Du lundi au jeudi de 9h à 11h45 et de 14h à 17h - Le vendredi de 9h à 11h45 et de 14h à 16h"
341,292,2,0,"03 27 53 08 42",,,"habitat@amvs.fr","www.agglo-maubeugevaldesambre.fr","Du Lundi au Jeudi de 8h30 à 12h30 et 13h30 à 17h30 Le Vendredi de 8h30 à 12h30 et de 13h30 à 16h30","Du Lundi au Jeudi de 8h30 à 12h30 et 13h30 à 17h30 Le Vendredi de 8h30 à 12h30 et de 13h30 à 16h30"
342,293,2,0,"03 21 21 88 98",,,"jc.corrion@cu-arras.org","http://www.cu-arras.fr","Sur rendez-vous","Du lundi au vendredi de 9H00 à 12H00"
343,294,2,0,"03 21 61 50 00",,,"contact@agglo-artoiscomm.fr","http://www.artoiscomm.fr/","Lundi et vendredi de 14h à 17h. Mercredi de 9h à 12h","Le lundi de 14h à 17h. Le mercredi de 9h à 12h. Le vendredi de 14h à 17h."
344,295,2,0,"08 00 10 59 59",,,"citemetrie@citemetrie.fr",,"Le Jeudi de 9h à 11h, sur rendez-vous.","Du lundi au vendredi de 9h à 12h et de 13h à 17h."
345,296,2,0,"03 21 37 38 36",,,"c.c-hesdin@wanadoo.fr","http://www.cc-hesdinois.fr/","Le jeudi de 9h à 12h à la CC de l'Hesdinois et  le mardi de 13h30 à 15h30 à la médiatheque d'Auchy-les Hesdins","Du lundi au vendredi de 9h à 12h et de 14h à 17h30"
346,297,2,0,"03 21 79 05 13",,,"contact@agglo-lenslievin.fr","http://www.communaupole-lenslievin.fr/","Du lundi au vendredi de 9h à 11h 30 et de 14h à 16h30","Du lundi au vendredi de 9h à 11h 30 et de 14h à 16h30"
347,298,2,0,"08 00 00 28 62",,,"agence.npdc@hdno.fr","http://www.paysduternois.eu/","Lundi mercredi 10-12h St Pol sur Ternoise. Mardi 10-12h Pernes et 14-16h Heuchin. Jeudi 10-12h Frévent et 14-16h Auxi le Château","Du lundi au vendredi de 9h à 12h et de 14h à 17h30."
348,299,2,0,"03 21 10 36 43",,,"lleroy@agglo-boulonnais.fr","http://www.agglo-boulonnais.fr","Du lundi au vendredi, de 9h à 12h et de 14h à 17h","Du lundi au vendredi, de9h à 12h et de 14h à 17h"
349,300,2,0,"03 20 17 91 12",,,"secretariat-general@mairie-calais.fr",,"Le lundi de 13h30 à 16h30. Le mercredi de 9h à 12h et de 13h30 à 16h30.","Le lundi de 13h30 à 16h30. Le mercredi de 9h à 12h et de 13h30 à 16h30."
350,301,2,0,"03 27 09 63 49",,,"pas@e.mail","www.valenciennes-metropole.fr","Sur rendez-vous","Mardi matin de 9h à 12h"
351,302,2,0,"03 59 00 03 59",,,"maisonhabitatdurable@lillemetropole.fr","www.maisonhabitatdurable-lillemetropole.fr","Du mardi au vendredi de 9h30 à 12h30 et de 13h30 à 18h - Samedi matin de 9h00 à 12h30","Du mardi au vendredi de 9h30 à 12h30 et de 13h30 à 18h - Samedi matin de 9h00 à 12h30"
352,303,3,1,"02 40 89 30 15",,,"contact@adil44.fr","www.adil44.fr","Du lundi au vendredi de 9h00 à 12h30 et de 13h30 à 17h00 (Fermé le mardi matin)","Du lundi au vendredi de 9h00 à 12h30 et de 13h30 à 17h00 (Fermé le mardi matin)"
353,303,2,0,"02 40 89 30 15",,,"contact@adil44.fr","www.adil44.fr","Du lundi au vendredi de 9h00 à 12h30 et de 13h30 à 17h00 (Fermé le mardi matin)","Du lundi au vendredi de 9h00 à 12h30 et de 13h30 à 17h00 (Fermé le mardi matin)"
354,304,3,1,"02 43 69 57 00",,,"adil53@orange.fr","www.adil53.org","Du lundi au vendredi de 9h à 12h / 13h30 à 17h30","Du lundi au vendredi de 9h à 12h / 13h30 à 17h30"
355,305,3,1,"02 51 44 78 78",,,"contact@adil85.org","www.adil85.org","Du lundi au jeudi de 8h45 à 12h30 / 13h45 à 18hVendredi de 8h45 à 12h30 / 13h45 à 17h","Du lundi au jeudi de 8h45 à 12h30 / 13h45 à 18hVendredi de 8h45 à 12h30 / 13h45 à 17h"
356,305,2,1,"02 51 44 78 78",,,"contact@adil85.org","www.adil85.org","Du lundi au jeudi de 8h45 à 12h30 / 13h45 à 18hVendredi de 8h45 à 12h30 / 13h45 à 17h","Du lundi au jeudi de 8h45 à 12h30 / 13h45 à 18hVendredi de 8h45 à 12h30 / 13h45 à 17h"
357,306,3,1,"02 41 81 89 40",,,"contact@adil49.com","www.adil49.org","Du lundi au jeudi de 9 à 13 h sans rendez-vous, l'après-midi sur rendez-vous","Du lundi au jeudi de 9h à 13h"
358,307,1,0,"02 41 18 01 08",,,"angers.49@eiepdl.fr","http://www.info-energie-paysdelaloire.fr/","du lundi au vendredi  14h-18h","du lundi au vendredi  14h-18h"
359,308,1,0,"02 40 08 03 30",,,"saintnazaire.44@eiepdl.fr","http://www.info-energie-paysdelaloire.fr/","du lundi au vendredi  9h-13h et 14h-18h","Du lundi au Vendredi 9h-12h30 et 13h30-17h00"
360,309,1,0,"02 40 08 03 30",,,"nantes.44@eiepdl.fr","http://www.info-energie-paysdelaloire.fr","du lundi au vendredi  9h-13h et 14h-18h","du lundi au vendredi de 9h-13h et 14h-18h."
